title,link
LIVE: ‘Yellow Vests’ protesters take to streets of Paris for 30th weekend in a row,https://www.youtube.com/watch?v=wyL0NJVf0Hw
LIVE: Yellow Vests continue protests in Paris after European elections,https://www.youtube.com/watch?v=hB0KiMIjtbM
LIVE: Yellow Vests’ march in Paris following Macron domestic news conference,https://www.youtube.com/watch?v=ESZgyj8KwRc
LIVE: Yellow Vests call for new protests in Paris,https://www.youtube.com/watch?v=pcHlAMaTu6s
LIVE: Yellow Vests demonstrate in Paris following end of nationwide debate,https://www.youtube.com/watch?v=Spq0ULFUQaQ
LIVE: Yellow Vests protesters hit the streets of Paris for 15th straight week,https://www.youtube.com/watch?v=WFT7CmBRhxg
LIVE: Yellow Vest protests continue for 14th straight week in Paris,https://www.youtube.com/watch?v=2HnrJBG0Hv0
LIVE: ‘Yellow Vests’ protesters take Paris streets for 25th weekend in a row,https://www.youtube.com/watch?v=ju20KfxmXuE
LIVE: Yellow Vests’ hold fresh protest in Paris despite ban on key locations,https://www.youtube.com/watch?v=MePlp0a2XiY
LIVE: Yellow Vests protest marks International Workers’ Day in Paris,https://www.youtube.com/watch?v=-YZNnCZK9gE
LIVE: Yellow Vests call for new protests in Paris - PART 1,https://www.youtube.com/watch?v=EXJkX2-kdC4
LIVE: ‘Yellow Vests’ march in Paris for 23rd straight week,https://www.youtube.com/watch?v=eNn9T56YaqA
LIVE: Yellow Vests call for new protests in Paris,https://www.youtube.com/watch?v=-mogr3kaOwk
LIVE: ‘Yellow Vests’ march in Paris for 28th straight week,https://www.youtube.com/watch?v=w8v94UWRezM
LIVE: Yellow Vests protest for 21st consecutive week,https://www.youtube.com/watch?v=OGskud63Egc
LIVE: Yellow vest protesters call for 11th week of demonstrations in Paris,https://www.youtube.com/watch?v=o5MpiNSTPpA
Live: Yellow Vests call for new protests in Paris on final day of Macron's 'Grand Debate',https://www.youtube.com/watch?v=MB0JPo8uVLA
LIVE: ‘Yellow Vests’ march in Paris for 28th straight week - PART 2,https://www.youtube.com/watch?v=b5C20zMwUOQ
LIVE: Yellow vest protesters call for 12th week of demonstrations in Paris,https://www.youtube.com/watch?v=of57ZLniAyQ
